,County Name,GDP 2018,10/2/20 Known Covid Cases
529,"Twiggs, GA",286425.0,200
530,"Union, GA",744507.0,786
531,"Upson, GA",717705.0,804
532,"Walker, GA",1547956.0,1600
533,"Walton, GA",2666448.0,1850
534,"Ware, GA",1441854.0,1516
535,"Warren, GA",215006.0,156
536,"Washington, GA",670249.0,685
537,"Wayne, GA",822316.0,1148
538,"Webster, GA",79153.0,43
539,"Wheeler, GA",138560.0,343
540,"White, GA",741401.0,888
541,"Whitfield, GA",6174790.0,4672
542,"Wilcox, GA",162620.0,249
543,"Wilkes, GA",324638.0,267
544,"Wilkinson, GA",483551.0,345
545,"Worth, GA",384279.0,538
546,"Hawaii, HI",9152883.0,752
547,"Honolulu, HI",69252344.0,11365
548,"Kauai, HI",4632808.0,59
549,"Maui + Kalawao, HI",10759866.0,391
550,"Ada, ID",27409992.0,13343
551,"Adams, ID",142975.0,29
552,"Bannock, ID",3067167.0,1218
553,"Bear Lake, ID",187363.0,48
554,"Benewah, ID",350794.0,152
555,"Bingham, ID",1465317.0,1032
556,"Blaine, ID",1592524.0,691
557,"Boise, ID",256101.0,72
558,"Bonner, ID",1521898.0,357
559,"Bonneville, ID",5444837.0,2917
560,"Boundary, ID",384802.0,59
561,"Butte, ID",1039640.0,41
562,"Camas, ID",57845.0,37
563,"Canyon, ID",6002296.0,8372
564,"Caribou, ID",455643.0,135
565,"Cassia, ID",1540832.0,794
566,"Clark, ID",44212.0,36
567,"Clearwater, ID",372597.0,63
568,"Custer, ID",168529.0,71
569,"Elmore, ID",1232791.0,374
570,"Franklin, ID",346667.0,144
571,"Fremont, ID",413654.0,263
572,"Gem, ID",365316.0,346
573,"Gooding, ID",1070548.0,324
574,"Idaho, ID",552589.0,220
575,"Jefferson, ID",605937.0,628
576,"Jerome, ID",1280042.0,798
577,"Kootenai, ID",6257997.0,2790
578,"Latah, ID",1433362.0,570
579,"Lemhi, ID",256290.0,113
580,"Lewis, ID",166812.0,36
581,"Lincoln, ID",250418.0,94
582,"Madison, ID",1269561.0,933
583,"Minidoka, ID",770530.0,748
584,"Nez Perce, ID",2141678.0,469
585,"Oneida, ID",115088.0,28
586,"Owyhee, ID",358169.0,335
587,"Payette, ID",817503.0,933
588,"Power, ID",462965.0,279
589,"Shoshone, ID",471638.0,217
590,"Teton, ID",351128.0,195
591,"Twin Falls, ID",3604052.0,2453
592,"Valley, ID",514465.0,97
593,"Washington, ID",437421.0,383
594,"Adams, IL",3676937.0,1218
595,"Alexander, IL",199171.0,87
596,"Bond, IL",617298.0,352
597,"Boone, IL",1931882.0,1178
598,"Brown, IL",445261.0,70
599,"Bureau, IL",1340134.0,703
600,"Calhoun, IL",121332.0,65
601,"Carroll, IL",506844.0,243
602,"Cass, IL",675352.0,412
603,"Champaign, IL",11675933.0,4959
604,"Christian, IL",1475299.0,611
605,"Clark, IL",638351.0,186
606,"Clay, IL",648382.0,178
607,"Clinton, IL",1310475.0,1261
608,"Coles, IL",2562035.0,1538
609,"Cook, IL",411671700.0,146917
610,"Crawford, IL",2875018.0,473
611,"Cumberland, IL",360077.0,221
612,"DeKalb, IL",4120286.0,1677
613,"De Witt, IL",1232780.0,137
614,"Douglas, IL",1100374.0,330
615,"DuPage, IL",91380290.0,18021
616,"Edgar, IL",834905.0,119
617,"Edwards, IL",309969.0,71
618,"Effingham, IL",2256812.0,906
619,"Fayette, IL",657542.0,453
620,"Ford, IL",809178.0,109
621,"Franklin, IL",1362520.0,560
622,"Fulton, IL",1036608.0,204
623,"Gallatin, IL",252143.0,77
624,"Greene, IL",400008.0,239
625,"Grundy, IL",3506911.0,706
626,"Hamilton, IL",473389.0,76
627,"Hancock, IL",704037.0,233
628,"Hardin, IL",116883.0,40
629,"Henderson, IL",206080.0,73
630,"Henry, IL",1618888.0,687
631,"Iroquois, IL",1098282.0,369
632,"Jackson, IL",3168157.0,1290
633,"Jasper, IL",593232.0,213
634,"Jefferson, IL",1876992.0,653
635,"Jersey, IL",562841.0,401
636,"Jo Daviess, IL",910082.0,286
637,"Johnson, IL",258342.0,172
638,"Kane, IL",24667680.0,13399
639,"Kankakee, IL",4936861.0,2822
640,"Kendall, IL",3303924.0,2081
641,"Knox, IL",1954851.0,744
642,"Lake, IL",67701130.0,17383
643,"LaSalle, IL",6108769.0,1794
644,"Lawrence, IL",520370.0,268
645,"Lee, IL",1677724.0,414
646,"Livingston, IL",1846437.0,421
647,"Logan, IL",1176274.0,480
648,"McDonough, IL",1298699.0,497
649,"McHenry, IL",11534353.0,4715
650,"McLean, IL",13155115.0,3370
651,"Macon, IL",7349716.0,1690
652,"Macoupin, IL",1288245.0,581
653,"Madison, IL",12118321.0,5931
654,"Marion, IL",1533670.0,606
655,"Marshall, IL",444189.0,113
656,"Mason, IL",626649.0,172
657,"Massac, IL",784074.0,122
658,"Menard, IL",316865.0,129
659,"Mercer, IL",445984.0,149
660,"Monroe, IL",1031460.0,703
661,"Montgomery, IL",1426046.0,401
662,"Morgan, IL",1601326.0,683
663,"Moultrie, IL",743762.0,231
664,"Ogle, IL",3066694.0,768
665,"Peoria, IL",13521905.0,3621
666,"Perry, IL",768271.0,360
667,"Piatt, IL",528937.0,148
668,"Pike, IL",641646.0,147
669,"Pope, IL",102042.0,30
670,"Pulaski, IL",263742.0,189
671,"Putnam, IL",377544.0,64
672,"Randolph, IL",1650387.0,970
673,"Richland, IL",1058155.0,257
674,"Rock Island, IL",11711580.0,3137
675,"St. Clair, IL",11942370.0,6836
676,"Saline, IL",893041.0,379
677,"Sangamon, IL",11873339.0,2551
678,"Schuyler, IL",280987.0,54
679,"Scott, IL",197150.0,80
680,"Shelby, IL",835983.0,428
681,"Stark, IL",247009.0,56
682,"Stephenson, IL",2133891.0,563
683,"Tazewell, IL",9406637.0,1862
684,"Union, IL",495647.0,534
685,"Vermilion, IL",3623054.0,909
686,"Wabash, IL",405980.0,163
687,"Warren, IL",820734.0,343
688,"Washington, IL",1080178.0,227
689,"Wayne, IL",629450.0,317
690,"White, IL",586678.0,184
691,"Whiteside, IL",2330100.0,818
692,"Will, IL",31475136.0,14419
693,"Williamson, IL",3105878.0,1453
694,"Winnebago, IL",14817252.0,6572
695,"Woodford, IL",1267496.0,450
696,"Adams, IN",1552083.0,540
697,"Allen, IN",21759326.0,6543
698,"Bartholomew, IN",7192801.0,1235
699,"Benton, IN",444110.0,87
700,"Blackford, IN",324631.0,139
701,"Boone, IN",4894814.0,1044
702,"Brown, IN",276637.0,104
703,"Carroll, IN",669215.0,286
704,"Cass, IN",1394263.0,2001
705,"Clark, IN",5008620.0,2365
706,"Clay, IN",727534.0,323
707,"Clinton, IN",1227166.0,680
708,"Crawford, IN",210445.0,117
709,"Daviess, IN",1256279.0,698
710,"Dearborn, IN",1723364.0,707
711,"Decatur, IN",1614745.0,490
712,"DeKalb, IN",2675170.0,514
713,"Delaware, IN",4344450.0,2103
714,"Dubois, IN",2799466.0,1043
715,"Elkhart, IN",13410875.0,6969
716,"Fayette, IN",652810.0,543
717,"Floyd, IN",2927125.0,1459
